sex,method,age_group,sample,race,published_estimate,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
men,direct,adults,healthy,white,yes,r,FE,-0.024547644183377536,-0.09369018042632826,0.044594892059573184,0.48652581038222825,3,"1,17,20","1,17,20",3,0,24,0.13828507248590144
men,direct,adults,all_sample,white,yes,z,FE,-0.024496976855028423,-0.09104445580712078,0.04226831597759741,0.4721694080022767,4,"1,17,19,20","1,17,19,20",4,0,25,0.13331277178471818
women,image,all_age_group,healthy,white,all_published_estimate,z,unweighted,-0.02305816118407646,-0.10162393541401796,0.055793457414164874,0.5667852211401306,6,"3,8,13,24,29,31","3,8,13,24,29,31",6,0,26,0.15741739282818284
all_sex,image,adults,healthy,white,no,z,unweighted,-0.022865161328525282,-0.18119047341672959,0.13661543697108108,0.7798299609456907,3,"2,3,4","2,3,4",3,0,27,0.3178059103878107
all_sex,image,adults,healthy,white,no,r,unweighted,-0.022833333333333334,-0.18299678459559404,0.13733011792892735,0.7799242517813423,3,"2,3,4","2,3,4",3,0,28,0.3203269025245214
women,image,all_age_group,healthy,white,all_published_estimate,r,unweighted,-0.022166666666666685,-0.09888796513428302,0.05455463180094966,0.5712022896864919,6,"3,8,13,24,29,31","3,8,13,24,29,31",6,0,29,0.15344259693523268
men,image,adults,all_sample,white,no,z,unweighted,-0.022165515215964895,-0.18328626065623838,0.1401149120656502,0.7900676698824898,3,"2,4,5","2,4,5",3,0,30,0.32340117272188856
men,image,adults,all_sample,white,no,r,unweighted,-0.022133333333333335,-0.1851675537888467,0.14090088712218002,0.7901757515376121,3,"2,4,5","2,4,5",3,0,31,0.3260684409110267
men,direct,adults,all_sample,white,yes,r,FE,-0.021778692630662847,-0.0880925208933206,0.04453513563199492,0.5197774042230079,4,"1,17,19,20","1,17,19,20",4,0,32,0.13262765652531552
all_sex,image,adults,all_sample,white,no,r,REML,-0.020139239450150052,-0.14919246721169052,0.1089139883113904,0.7597114565303229,4,"2,3,4,5","2,3,4,5",4,0,33,0.2581064555230809
all_sex,image,adults,all_sample,white,no,r,RE_DL,-0.020139239450150052,-0.14919246721169052,0.1089139883113904,0.7597114565303229,4,"2,3,4,5","2,3,4,5",4,0,34,0.2581064555230809
all_sex,image,adults,all_sample,white,no,r,FE,-0.020139239450150052,-0.14919246721169052,0.1089139883113904,0.7597114565303229,4,"2,3,4,5","2,3,4,5",4,0,35,0.2581064555230809
all_sex,image,adults,all_sample,white,no,z,REML,-0.020031725722214386,-0.1481717283242765,0.10876977454448132,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,36,0.25694150286875783
all_sex,image,adults,all_sample,white,no,z,FE,-0.020031725722214386,-0.1481717283242765,0.10876977454448132,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,37,0.25694150286875783
all_sex,image,adults,all_sample,white,no,z,RE_DL,-0.020031725722214386,-0.1481717283242765,0.10876977454448132,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,38,0.25694150286875783
men,all_method,adults,healthy,white,all_published_estimate,z,RE_DL,-0.01904852395652065,-0.07127463087880517,0.033281740218298314,0.4756442397256985,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,39,0.10455637109710349
men,all_method,adults,healthy,white,all_published_estimate,z,REML,-0.01904852395652065,-0.07127463087880517,0.033281740218298314,0.4756442397256985,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,40,0.10455637109710349
men,all_method,adults,healthy,white,all_published_estimate,z,FE,-0.01904852395652065,-0.07127463087880517,0.033281740218298314,0.4756442397256985,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,41,0.10455637109710349
all_sex,all_method,adults,healthy,white,all_published_estimate,z,FE,-0.01815521857212526,-0.06914913583918737,0.032933326018220736,0.48618159831445695,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,42,0.1020824618574081
all_sex,all_method,adults,healthy,white,all_published_estimate,z,RE_DL,-0.01815521857212526,-0.06914913583918737,0.032933326018220736,0.48618159831445695,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,43,0.1020824618574081
all_sex,all_method,adults,healthy,white,all_published_estimate,z,REML,-0.01815521857212526,-0.06914913583918737,0.032933326018220736,0.48618159831445695,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,44,0.1020824618574081
men,all_method,adults,healthy,white,all_published_estimate,r,REML,-0.017399762642513757,-0.0694344825480186,0.034634957262991074,0.512218258751411,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,45,0.10406943981100966
men,all_method,adults,healthy,white,all_published_estimate,r,RE_DL,-0.017399762642513757,-0.0694344825480186,0.034634957262991074,0.512218258751411,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,46,0.10406943981100966
men,all_method,adults,healthy,white,all_published_estimate,r,FE,-0.017399762642513757,-0.0694344825480186,0.034634957262991074,0.512218258751411,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,47,0.10406943981100966
women,image,all_age_group,healthy,all_race,yes,z,unweighted,-0.016920070672056628,-0.07409212604809996,0.04036284229071943,0.562760514220056,8,"8,13,16,23,24,27,29,31","8,13,16,23,24,27,29,31",8,0,48,0.1144549683388194
men,all_method,adults,all_sample,white,all_published_estimate,z,REML,-0.016893456524795875,-0.06686986507823735,0.033167506527149164,0.5084290246236494,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,49,0.1000373716053865
men,all_method,adults,all_sample,white,all_published_estimate,z,FE,-0.016893456524795875,-0.06686986507823735,0.033167506527149164,0.5084290246236494,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,50,0.1000373716053865
men,all_method,adults,all_sample,white,all_published_estimate,z,RE_DL,-0.016893456524795875,-0.06686986507823735,0.033167506527149164,0.5084290246236494,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,51,0.1000373716053865
men,all_method,adults,healthy,white,yes,z,FE,-0.016889514327792662,-0.07110962350009963,0.03743010976563497,0.5423572833671112,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,52,0.1085397332657346
men,all_method,adults,healthy,white,yes,z,REML,-0.01680316349466291,-0.07111123326315784,0.037604232972054154,0.5450748575322363,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,53,0.108715466235212
all_sex,image,adults,all_sample,white,no,z,unweighted,-0.016625327740622375,-0.15133597629294554,0.11869160233174976,0.8104631581063028,4,"2,3,4,5","2,3,4,5",4,0,54,0.2700275786246953
all_sex,image,adults,all_sample,white,no,r,unweighted,-0.0166,-0.15236052664490862,0.11916052664490862,0.810599361384403,4,"2,3,4,5","2,3,4,5",4,0,55,0.27152105328981724
all_sex,all_method,adults,healthy,white,all_published_estimate,r,FE,-0.016592790076885005,-0.06740654265393013,0.03422096250016013,0.5221665949991748,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,56,0.10162750515409026
all_sex,all_method,adults,healthy,white,all_published_estimate,r,RE_DL,-0.016592790076885005,-0.06740654265393013,0.03422096250016013,0.5221665949991748,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,57,0.10162750515409026
all_sex,all_method,adults,healthy,white,all_published_estimate,r,REML,-0.016592790076885005,-0.06740654265393013,0.03422096250016013,0.5221665949991748,11,"1,2,3,4,6,10,11,17,18,20,25","1,2,3,4,6,10,11,17,18,20,25",11,0,58,0.10162750515409026
women,image,all_age_group,healthy,all_race,yes,r,unweighted,-0.016250000000000007,-0.07185238269928393,0.039352382699283914,0.5667756137296562,8,"8,13,16,23,24,27,29,31","8,13,16,23,24,27,29,31",8,0,59,0.11120476539856784
all_sex,all_method,adults,all_sample,white,all_published_estimate,z,FE,-0.016165510959186533,-0.06505869036262263,0.03280509977762679,0.5177103706760997,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,60,0.09786379014024942
all_sex,all_method,adults,all_sample,white,all_published_estimate,z,REML,-0.016165510959186533,-0.06505869036262263,0.03280509977762679,0.5177103706760997,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,61,0.09786379014024942
all_sex,all_method,adults,all_sample,white,all_published_estimate,z,RE_DL,-0.016165510959186533,-0.06505869036262263,0.03280509977762679,0.5177103706760997,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,62,0.09786379014024942
men,all_method,adults,all_sample,white,yes,z,RE_DL,-0.015516861336325564,-0.06834474295154355,0.03739779187857264,0.56556915305803,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,63,0.1057425348301162
men,all_method,adults,all_sample,white,yes,z,FE,-0.015516861336325564,-0.06834474295154355,0.03739779187857264,0.56556915305803,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,64,0.1057425348301162
men,all_method,adults,all_sample,white,yes,z,REML,-0.01551419326629464,-0.06834463849346281,0.03740301703609004,0.5656548228526619,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,65,0.10574765552955284
men,all_method,adults,all_sample,white,all_published_estimate,r,FE,-0.01540569714180002,-0.06520848148426807,0.03439708720066803,0.5443264446761265,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,66,0.0996055686849361
men,all_method,adults,all_sample,white,all_published_estimate,r,RE_DL,-0.01540569714180002,-0.06520848148426807,0.03439708720066803,0.5443264446761265,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,67,0.0996055686849361
men,all_method,adults,all_sample,white,all_published_estimate,r,REML,-0.01540569714180002,-0.06520848148426807,0.03439708720066803,0.5443264446761265,12,"1,2,4,5,6,10,11,17,18,19,20,25","1,2,4,5,6,10,11,17,18,19,20,25",12,0,68,0.0996055686849361
men,all_method,adults,healthy,white,yes,r,FE,-0.01512019138241862,-0.06912556604236005,0.0388851832775228,0.5831823502977814,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,69,0.10801074931988285
