rank,obs,boot_lb,boot_ub
1,-0.046936258032686376,-0.2013258224151912,-0.02027678358231555
2,-0.046936258032686376,-0.20044181078459172,-0.01975918943437174
3,-0.046936258032686376,-0.19806673870285305,-0.017133644145368842
4,-0.04683613854166053,-0.19787798065822465,-0.017114672594566584
5,-0.04683613854166053,-0.1963454982058644,-0.017054019619448024
6,-0.04683613854166053,-0.1963454982058644,-0.017040254361837367
7,-0.034290271749973546,-0.19517507509169826,-0.016320212374890977
8,-0.03425,-0.19515638356034,-0.0162313482760327
9,-0.02873549547142485,-0.16850525932510935,-0.015979649396799595
10,-0.02873549547142485,-0.16833228392475866,-0.01588732761016332
11,-0.02873549547142485,-0.16578749002513232,-0.01461297532498604
12,-0.0286127674715703,-0.16367785756527872,-0.014590163263424688
13,-0.0286127674715703,-0.16048025625229403,-0.01438140194206401
14,-0.0286127674715703,-0.1572612527542296,-0.014120617199892114
15,-0.027958457602701273,-0.1572612527542296,-0.00956942438368292
16,-0.027958457602701273,-0.15721338089011638,-0.009409694676055957
17,-0.027958457602701273,-0.14757855843795664,-0.009259570547599091
18,-0.027839354523308896,-0.1465823762277929,-0.009214035328135526
19,-0.027839354523308896,-0.14390527612363022,-0.007975236249188493
20,-0.027839354523308896,-0.14390112559539298,-0.007821769971706968
21,-0.02766763571510525,-0.14371226463670225,-0.007792434171170622
22,-0.02754819997374495,-0.14230609548533552,-0.0076098150300086724
23,-0.02660000000000003,-0.14149930484860238,-0.0075443790220010645
24,-0.024547644183377536,-0.14126004866325534,-0.007432692150941978
25,-0.024496976855028423,-0.1325812510605493,-0.007270356479673307
26,-0.02305816118407646,-0.13174947551154273,-0.006715137108192397
27,-0.022865161328525282,-0.12316583209321422,-0.006643625148448678
28,-0.022833333333333334,-0.12303709490945168,-0.006101001193303404
29,-0.022166666666666685,-0.12291482569674686,-0.0060191482234647885
30,-0.022165515215964895,-0.12180465077605074,-0.005982425648128929
31,-0.022133333333333335,-0.12104866750909847,-0.005727561947967577
32,-0.021778692630662847,-0.12100122930313895,-0.0054720774031633505
