rank,obs,boot_lb,boot_ub
1,0.3556687961583761,-0.1681287450922124,0.0035818363876467386
2,0.39057391304347866,-0.16328324797424384,0.0035945905893290508
3,0.3953935432063312,-0.11046742826522368,0.00847537451952184
4,0.39946815580786676,-0.10484082421515373,0.008491599201250019
5,0.4117523923018713,-0.10212384726266985,0.008517257023529992
6,0.4270333333333342,-0.1015290273701349,0.008683620993220828
7,0.4316856007569005,-0.09965852058967407,0.011127804939192928
8,0.44627773801944665,-0.08898879960837335,0.011140362398491071
9,0.4633285714285719,-0.056202052255223074,0.01384398331523941
10,0.4693969508559241,-0.05576266373317311,0.013850836389368728
11,0.47331291263488734,-0.04097876400932203,0.01629744935111221
12,0.49185473184380235,-0.039948235444488486,0.016735250107816322
13,0.5048546210431012,-0.03842981674931231,0.018268663806182486
14,0.505659785038922,-0.03799294030252741,0.01840814587722155
15,0.5059861729128018,-0.030903587804867252,0.02172718901946689
16,0.5359998754262411,-0.03075912137752635,0.02220396954684396
17,0.5367917459593458,-0.02674891559873864,0.02431428587425956
18,0.5391874707933575,-0.026745781262192136,0.025243511537089387
19,0.5736970416820739,-0.02227683799964157,0.041692778086404675
20,0.5754585549532838,-0.022003720105841947,0.04222271306160628
21,0.5757060797258824,-0.021994253874529877,0.04450602818577939
22,0.5805395567456932,-0.021994159632518922,0.04552959745540347
23,0.6005313908779878,-0.01941108579233578,0.051863392901247835
24,0.616651948495409,-0.019235593293946602,0.05432752309862131
25,0.6175131857781091,-0.01577101593511155,0.07118363505149736
26,0.6218666666666666,-0.015542835575507178,0.07250384184942114
27,0.6541104849687918,-0.012376562187239171,0.07560161243528526
28,0.657723033935203,-0.012295437670661616,0.0771255985139788
29,0.6774165803075419,-0.01069292081782634,0.08242935392728858
30,0.7421805507992452,-0.010543989668598106,0.08433723843202759
31,0.9231531265453272,-0.003292717895279307,0.14329520828771364
32,0.9279094709481716,-0.003267638924990205,0.1468555672978499
