radiation,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
all_radiation,z,FE,0.5736970416820739,0.5596108264131034,0.5874518795198675,0.0,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",33,1,19,0.027841053106764102
high,z,RE_DL,0.5754585549532838,0.18828857578471947,0.8078226066764673,0.005726668313222603,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,20,0.6195340308917479
high,z,REML,0.5757060797258824,0.1773679855232561,0.8119646384178402,0.006998176902759536,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,21,0.6345966528945841
high,z,unweighted,0.5805395567456932,0.519515545186029,0.6356714790049571,8.060928420629818e-50,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,22,0.11615593381892808
low,z,FE,0.6005313908779878,0.5860523003431632,0.6146270862366303,0.0,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,23,0.02857478589346707
medium,r,REML,0.616651948495409,0.2693497061235511,0.9639541908672671,0.0005013932699600364,3,"11,12,21","11,12,21",3,0,24,0.694604484743716
medium,r,RE_DL,0.6175131857781091,0.2371309855183198,0.9978953860378984,0.001463581767443506,3,"11,12,21","11,12,21",3,0,25,0.7607644005195786
medium,r,unweighted,0.6218666666666666,0.5501171216996247,0.6936162116337085,1.0184998917170408e-64,3,"11,12,21","11,12,21",3,0,26,0.14349908993408378
medium,z,REML,0.6541104849687918,0.21955059404749028,0.8720836430582636,0.006104425776081578,3,"11,12,21","11,12,21",3,0,27,0.6525330490107732
medium,z,RE_DL,0.657723033935203,0.17636428145746075,0.8852115597834991,0.011338413310828657,3,"11,12,21","11,12,21",3,0,28,0.7088472783260383
medium,z,unweighted,0.6774165803075419,0.5493407334281978,0.7743938763463976,5.750945776914502e-15,3,"11,12,21","11,12,21",3,0,29,0.22505314291819978
high,r,FE,0.7421805507992452,0.706245664305412,0.7781154372930783,0.0,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,30,0.07186977298766628
all_radiation,r,FE,0.9231531265453272,0.9189868162143597,0.9273194368762947,0.0,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",33,1,31,0.008332620661934964
low,r,FE,0.9279094709481716,0.9237038125242478,0.9321151293720953,0.0,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,32,0.008411316847847461
