"rank","obs","boot_lb","boot_ub"
1,-0.308317098295032,-0.135344915512218,-0.0222110997270903
2,-0.302,-0.131334083936324,-0.0216143424716416
3,-0.270902965676542,-0.100515956627069,-0.0198382621423424
4,-0.26735442199957,-0.0969911634083429,-0.018751493667848
5,-0.266045246483458,-0.0906870162962367,-0.0155844905027727
6,-0.260876122349755,-0.0901248537889986,-0.0155145368468919
7,-0.215880076449961,-0.0869460995138331,-0.0119574584721519
8,-0.207290771594366,-0.0830538860072516,-0.0119157191267059
9,-0.202818181818182,-0.0635852473579362,-0.0111282763557467
10,-0.202221969343432,-0.0620354261340363,-0.0110723729679651
11,-0.20106751546082,-0.0610781854215336,-0.00869487813931849
12,-0.199739151762469,-0.0608817995632576,-0.00866559043272482
13,-0.196698289262567,-0.0557527937807019,-0.00629000443122382
14,-0.19481789758282,-0.0548652419807183,-0.00613169249497155
15,-0.194450546205916,-0.0475355996667787,-0.0058564359291589
16,-0.191401086796998,-0.0472049908395697,-0.00585485301935038
17,-0.190573766012192,-0.0423396457460132,-0.00397246484925112
18,-0.187851350967821,-0.0421790302156893,-0.00397246484925112
19,-0.184964048904835,-0.0418455702758575,-0.00318152733356917
20,-0.183223294476723,-0.0407748549908164,-0.00316835236032717
21,-0.181349539573804,-0.0387925764657356,-0.00263644153984358
22,-0.181259853851223,-0.0381561829738197,-0.00259347876040748
23,-0.180620923599566,-0.0300564085391379,-0.00125755001811047
24,-0.178854936516785,-0.0296483496720045,-0.00123461907693394
25,-0.177286035766058,-0.0269533685264553,-0.00123461907693394
26,-0.173647058823529,-0.0267941418915134,-0.00119669640732424
27,-0.166932255677266,-0.0265228447063075,-0.00110733356855396
28,-0.166,-0.0260930173259342,-0.00110733356855396
29,-0.164599654123929,-0.0258559066738207,-0.000359923008226453
30,-0.164493505993098,-0.0257793714998332,-0.000353768521294799
31,-0.163636363636364,-0.0233042296172279,-0.000281769882799996
32,-0.160967741935484,-0.023249704170389,-0.000280177692579917
33,-0.158726936586163,-0.0217453856597529,0.00029327302673634
34,-0.15765899892669,-0.0217075467988015,0.000297277250705276
35,-0.157619587722075,-0.0210076484472729,0.000400750205148649
36,-0.157570263173313,-0.0209953866231945,0.000465495868195333
37,-0.15731262830624,-0.0193486058158258,0.000596869369130062
38,-0.157278494628304,-0.0192230275177064,0.000600424645421898
39,-0.15674699819367,-0.0174374244535471,0.00094860704164611
40,-0.156666666666667,-0.01710289019668,0.00112156092181272
41,-0.156448843775171,-0.0166320052794521,0.00176050733861316
42,-0.156144378356671,-0.0165260935691628,0.00176050733861316
43,-0.155634531081967,-0.0161944601858677,0.00190895516128747
44,-0.155582560658069,-0.0152955121842219,0.00209389163367842
45,-0.155387973340905,-0.0144532595286185,0.00249210672788358
46,-0.155312954425388,-0.0144372175450337,0.00249842098531061
47,-0.15445683427263,-0.0142307640359859,0.00305770747068413
48,-0.154149646422238,-0.0140870792014168,0.00315319702311313
49,-0.154146852385154,-0.01086340640876,0.00349209562667894
50,-0.154018714509639,-0.0108289877617366,0.00349717035691791
51,-0.1529007490048,-0.00988069103878639,0.00356479740265838
52,-0.152579702859777,-0.00985641224116423,0.00362025065519143
53,-0.152043569804146,-0.00942831232224609,0.00420710475778003
54,-0.151971428571429,-0.00932119098469504,0.0042535861338811
55,-0.151144848579049,-0.00889947858280875,0.00428500737490742
56,-0.149632354346761,-0.008838739146361,0.00429818622767816
57,-0.149381678971499,-0.00853851924771489,0.00442518543023713
58,-0.149310927923923,-0.00836357995056379,0.00445446553967713
59,-0.149018321389649,-0.00782507315825337,0.00591714150089417
60,-0.14901004729442,-0.00774729804890163,0.0059738439902948
61,-0.148774041504088,-0.00765838995037559,0.00641363522008953
62,-0.1478,-0.00765277422028366,0.00663096771693268
63,-0.146300196048864,-0.00710349101067979,0.00682097398206756
64,-0.145946987396479,-0.00710127661498172,0.00689681446987769
65,-0.142214081104886,-0.00644067290646582,0.00715229757913934
66,-0.141614225250245,-0.00643165451169495,0.00725354494140155
67,-0.124844182891003,-0.00633037289089036,0.00786883471392494
68,-0.124470341906265,-0.00631950686968306,0.0079359128340723
69,-0.121852775553982,-0.00580225120817355,0.00814533794522852
70,-0.121428571428572,-0.00571842326633379,0.00821156377677939
71,-0.121336356329613,-0.00542709353279285,0.00853938584059582
72,-0.121032659878009,-0.00541479441531332,0.00859375322158621
73,-0.117010355317438,-0.00497493893139289,0.00883848357273018
74,-0.117010355317438,-0.00496357434888506,0.00901735514086938
75,-0.117010355317438,-0.00495992397468208,0.00923497123076932
76,-0.116837902869811,-0.00481803741759589,0.00956531863236695
77,-0.11653398559846,-0.00466883276849244,0.0105920836482543
78,-0.116297129301409,-0.00466843692139519,0.0106107930806468
79,-0.116297129301409,-0.00378458414521766,0.0112966027617031
80,-0.116297129301409,-0.00376891609675016,0.0112966027617031
81,-0.110135782890879,-0.00376303353744402,0.0115832580418387
82,-0.110135782890879,-0.00375376122235461,0.0118210386097198
83,-0.110135782890879,-0.00252561079842363,0.0121742155100103
84,-0.109542519687658,-0.00241386948369343,0.0122340538329035
85,-0.109542519687658,-0.00228014609992226,0.0123484678730709
86,-0.109542519687658,-0.00226002022419509,0.013024096883564
87,-0.105615049235238,-0.00187306494424525,0.0131521944072521
88,-0.102911499750306,-0.00186779949599006,0.0132861393998447
89,-0.0937494144613246,-0.00162474795381327,0.0143019727750211
90,-0.0935392171158488,-0.00149554329431562,0.0143148975515493
91,-0.0934569328607571,-0.00147560066489727,0.0150550866094326
92,-0.0934035063623204,-0.00143586825053356,0.0156003266343867
93,-0.0913151886805341,-0.00134720475640766,0.0162608810390194
94,-0.0899090909090909,-0.00131325730715867,0.0167328608775358
95,-0.0825296757275055,-0.000560401295233,0.0180771570212115
96,-0.08225,-0.000474168940926375,0.0182295387713615
97,-0.0503375642688356,-0.000420670497746367,0.0193962200185606
98,-0.05,-0.000398536872260591,0.0202823459087296
99,-0.0459340128021754,0.000811979965207957,0.0253886102137468
100,-0.0448357566683092,0.000826393968673737,0.0256451673665628
101,-0.0424902588151734,0.000838408396280778,0.02716187743587
102,-0.0416666666666667,0.000873965874377508,0.0271920890710902
103,-0.0416474778037129,0.000966229610911288,0.0292593245266154
104,-0.0415792110680964,0.00098458484300821,0.0305278557050653
105,-0.0411108338260863,0.00182821014597996,0.0311670493589598
106,-0.0410960807364037,0.00186220394168785,0.0313718843243858
107,-0.0393039116464883,0.00286286976054785,0.0362082676570029
108,-0.0392544184902343,0.00286286976054785,0.03663006211415
109,-0.0380879029324221,0.00424396316134393,0.0397401590976648
110,-0.0378483904258503,0.00424855032923926,0.0401202507621425
111,-0.0378204821511258,0.00639591263469592,0.044351931992262
112,-0.0376744675666175,0.00654549300416191,0.044351931992262
113,-0.0104008830600442,0.00698976936115509,0.0492264229159944
114,-0.00918185917311942,0.00703538721697302,0.049513697207622
115,0.0222313444072154,0.00784886397076515,0.0527771664274897
116,0.0223496633930008,0.00789949977505652,0.053419231803888
117,0.0224003549283427,0.00848777348128913,0.0546072064747352
118,0.0225191884621206,0.00860265593511894,0.05473058951054
119,0.025654590102659,0.0103695006078417,0.064220286321236
120,0.0257233025743943,0.0107288066726814,0.0652661623251065
121,0.0405428674038514,0.0112501071584764,0.0817431766654622
122,0.0405428674038514,0.0114259938952121,0.0841472218196355
123,0.0406601166032456,0.0129104143022527,0.0896515871341444
124,0.0406601166032456,0.0129299895663065,0.0907072425440123
125,0.045,0.0198127299870234,0.091052595966305
126,0.0451646475535697,0.0204661793149658,0.0912555673489301
127,0.05,0.0278914515347252,0.123750404042717
128,0.0505063420953072,0.02844324951767,0.126208710405
