religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
mixed,College,all_publicationstatus,r,FE,-0.1813495395738035,-0.19983322083348642,-0.1628658583141206,2.081973595036079e-82,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,21,0.03696736251936583
Beliefs,Non-College,published,r,RE_DL,-0.18125985385122276,-0.24446319787259177,-0.11805650982985375,1.8991112563752208e-08,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,22,0.12640668804273802
mixed,College,all_publicationstatus,z,FE,-0.18062092359956597,-0.19911959056975892,-0.16199358167305908,1.2354596321294744e-77,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,23,0.03712600889669984
Beliefs,Non-College,published,r,REML,-0.17885493651678527,-0.27048306914498305,-0.08722680388858749,0.0001303577651297578,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,24,0.18325626525639555
Beliefs,Non-College,published,z,RE_DL,-0.17728603576605828,-0.237377007969642,-0.11584345051864571,2.2586530907373174e-08,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,25,0.1215335574509963
Beliefs,Non-College,published,r,unweighted,-0.1736470588235295,-0.20263132957551266,-0.1446627880715463,7.73543964637371e-32,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,26,0.05796854150396635
mixed,Non-College,published,z,unweighted,-0.16693225567726583,-0.19425614696853616,-0.1393495287659836,1.396675151518323e-31,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,27,0.05490661820255255
mixed,Non-College,published,r,unweighted,-0.16600000000000012,-0.19301940821951916,-0.13898059178048108,2.1502775273667667e-33,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,28,0.05403881643903807
Beliefs,College,published,z,unweighted,-0.16459965412392943,-0.1915746385167543,-0.1373761892912406,1.5071488587634496e-31,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,29,0.0541984492255137
mixed,Non-College,all_publicationstatus,z,unweighted,-0.16449350599309803,-0.19041313404997906,-0.1383447001725138,5.299528199793388e-34,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,30,0.052068433877465264
mixed,Non-College,all_publicationstatus,r,unweighted,-0.16363636363636366,-0.1892885115204562,-0.13798421575227113,7.214863823624166e-36,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,31,0.05130429576818507
Beliefs,College,published,r,unweighted,-0.1609677419354838,-0.1873370446234569,-0.1345984392475107,5.4638375729144204e-33,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,32,0.05273860537594621
