religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
mixed,College,unpublished,z,unweighted,-0.04249025881517338,-0.10980111517469424,0.025208542635988714,0.21857567636955666,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,101,0.13500965781068294
mixed,College,unpublished,r,unweighted,-0.041666666666666706,-0.10752789949867439,0.02419456616534097,0.21499090972616053,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,102,0.13172246566401535
mixed,College,unpublished,r,RE_DL,-0.04164747780371288,-0.152314018598751,0.06901906299132521,0.46075801652453496,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,103,0.2213330815900762
mixed,College,unpublished,r,REML,-0.041579211068096415,-0.15824596786540088,0.07508754572920806,0.4848536984475732,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,104,0.23333351359460894
mixed,College,unpublished,z,REML,-0.041110833826086275,-0.15634061052506465,0.0752230003047584,0.48891782017516766,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,105,0.23156361082982305
mixed,College,unpublished,z,RE_DL,-0.04109608073640376,-0.15049724684031468,0.06929943214125009,0.4659136065777416,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,106,0.21979667898156477
Behavior,College,published,z,RE_DL,-0.039303911646488304,-0.2216706645563042,0.14571933718925945,0.6787425982084743,3,"30,36,64","30,36,64",3,0,107,0.36739000174556363
Behavior,College,published,r,RE_DL,-0.03925441849023427,-0.22456144170880193,0.14605260472833342,0.6780043059656439,3,"30,36,64","30,36,64",3,0,108,0.37061404643713536
Behavior,Pre-College,published,z,FE,-0.03808790293242207,-0.06907150417355677,-0.007030894424106247,0.016242539904033224,2,"63,67","63,67",2,0,109,0.062040609749450526
Behavior,College,published,z,REML,-0.03784839042585032,-0.20757945501180916,0.13409498819895213,0.6675151584959609,3,"30,36,64","30,36,64",3,0,110,0.3416744432107613
Behavior,College,published,r,REML,-0.03782048215112582,-0.20955697914618532,0.13391601484393367,0.6660096790921313,3,"30,36,64","30,36,64",3,0,111,0.343472993990119
Behavior,Pre-College,published,r,FE,-0.03767446756661749,-0.06863416460652719,-0.006714770526707794,0.01707653910869275,2,"63,67","63,67",2,0,112,0.06191939407981939
Behavior,College,published,r,FE,-0.010400883060044157,-0.08737854945381282,0.06657678333372452,0.7911468220682414,3,"30,36,64","30,36,64",3,0,113,0.15395533278753734
Behavior,College,published,z,FE,-0.009181859173119408,-0.08698665000995304,0.06873426646217265,0.8175850478669658,3,"30,36,64","30,36,64",3,0,114,0.1557209164721257
mixed,Pre-College,published,z,RE_DL,0.022231344407215407,-0.03287279725301664,0.07720074014777688,0.42915397455079113,4,"44,48,51,53","44,48,51,53",4,0,115,0.11007353740079351
mixed,Pre-College,published,z,REML,0.022349663393000777,-0.034266854448643136,0.07882319111081652,0.43916705670167205,4,"44,48,51,53","44,48,51,53",4,0,116,0.11309004555945966
mixed,Pre-College,published,r,RE_DL,0.02240035492834274,-0.03277671165221855,0.07757742150890404,0.4262117265119509,4,"44,48,51,53","44,48,51,53",4,0,117,0.11035413316112258
mixed,Pre-College,published,r,REML,0.02251918846212058,-0.034073180441900996,0.07911155736614216,0.4354454754733743,4,"44,48,51,53","44,48,51,53",4,0,118,0.11318473780804315
mixed,Pre-College,published,z,FE,0.025654590102658952,-0.008724891077471453,0.05997349345108341,0.1435679452039751,4,"44,48,51,53","44,48,51,53",4,0,119,0.06869838452855487
mixed,Pre-College,published,r,FE,0.02572330257439426,-0.008589808219636449,0.06003641336842497,0.14174754221216743,4,"44,48,51,53","44,48,51,53",4,0,120,0.06862622158806142
Behavior,Pre-College,published,r,REML,0.040542867403851386,-0.15457509251583454,0.2356608273235373,0.6838214808107212,2,"63,67","63,67",2,0,121,0.39023591983937184
Behavior,Pre-College,published,r,RE_DL,0.04054286740385141,-0.15457509251583473,0.23566082732353755,0.6838214808107214,2,"63,67","63,67",2,0,122,0.3902359198393723
Behavior,Pre-College,published,z,REML,0.04066011660324559,-0.15427976388370318,0.2325529673368935,0.6844526390595829,2,"63,67","63,67",2,0,123,0.3868327312205967
Behavior,Pre-College,published,z,RE_DL,0.0406601166032456,-0.15427976388370324,0.23255296733689357,0.6844526390595829,2,"63,67","63,67",2,0,124,0.3868327312205968
mixed,Pre-College,published,r,unweighted,0.045,-0.020569854813834623,0.11056985481383462,0.17859113305742452,4,"44,48,51,53","44,48,51,53",4,0,125,0.13113970962766924
mixed,Pre-College,published,z,unweighted,0.045164647553569644,-0.02108417233946694,0.11101857823565396,0.18141286806350407,4,"44,48,51,53","44,48,51,53",4,0,126,0.1321027505751209
Behavior,Pre-College,published,r,unweighted,0.049999999999999996,-0.014371149053770148,0.11437114905377013,0.12791058909499162,2,"63,67","63,67",2,0,127,0.1287422981075403
Behavior,Pre-College,published,z,unweighted,0.050506342095307216,-0.015221704649432285,0.11579977316876265,0.13198161027267286,2,"63,67","63,67",2,0,128,0.13102147781819493
