"religiosityMeasure","sample","publicationstatus","effect","ma_method","test","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"Beliefs","College","published","z","ML","t-test",-0.155741445254574,-0.207384765623486,-0.10323246806606,1.38194912407069e-06,31,"14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",26,0,20,0.104152297557426
"mixed","College","published","z","REML","t-test",-0.155594395742282,-0.279675473934587,-0.0264010556199702,0.0288777852412914,5,"26,41,45,68,79","31,49,54,79,91",5,0,21,0.253274418314617
"mixed","College","published","z","REML","z-test",-0.155594395742282,-0.243945155597004,-0.0646821007221609,0.000842514230501374,5,"26,41,45,68,79","31,49,54,79,91",5,0,22,0.179263054874843
"mixed","Non-College","published","z","ML","t-test",-0.155092670175338,-0.193240183038938,-0.116476963599383,8.62121374007562e-06,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,23,0.0767632194395545
"mixed","Non-College","published","z","ML","z-test",-0.155092670175338,-0.188175217415186,-0.121658575550594,2.48716840404942e-19,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,24,0.0665166418645918
"Behavior","Non-College","published","z","REML","t-test",-0.154130045778867,-0.228194035250408,-0.0782924776384408,0.00348858957111853,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,25,0.149901557611967
"Behavior","Non-College","published","z","REML","z-test",-0.154130045778867,-0.210804364773441,-0.0964230274368193,2.0742274354914e-07,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,26,0.114381337336622
"mixed","Non-College","all_publicationstatus","z","REML","z-test",-0.154110519886958,-0.186526195995025,-0.121359663075382,7.54718307518114e-20,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,27,0.0651665329196433
"mixed","Non-College","all_publicationstatus","z","REML","t-test",-0.154110519886958,-0.190931758818928,-0.11685619272716,3.6746985194962e-06,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,28,0.074075566091768
"mixed","Non-College","all_publicationstatus","z","ML","t-test",-0.153011563740819,-0.186469348299221,-0.119199280369207,1.62858756277304e-06,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,29,0.0672700679300145
"mixed","Non-College","all_publicationstatus","z","ML","z-test",-0.153011563740819,-0.182463631954295,-0.123285147744991,1.98964971330372e-23,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,30,0.0591784842093036
"Beliefs","College","all_publicationstatus","z","REML","z-test",-0.150139788806817,-0.196327916817169,-0.103286854960867,4.79465683594e-10,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,31,0.0930410618563027
"Beliefs","College","all_publicationstatus","z","REML","t-test",-0.150139788806817,-0.198016042241082,-0.101548869665987,4.39324077322062e-07,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,32,0.0964671725750959
"Beliefs","College","all_publicationstatus","z","ML","t-test",-0.150006046163709,-0.196803476804209,-0.102526669792421,2.90285486311756e-07,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,33,0.0942768070117876
"Beliefs","College","all_publicationstatus","z","ML","z-test",-0.150006046163709,-0.195152999936605,-0.104224726891482,1.95236547835867e-10,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,34,0.0909282730451232
"Behavior","Non-College","published","z","ML","t-test",-0.149603010367555,-0.210039371223135,-0.0880276968894358,0.00159135605622334,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,35,0.122011674333699
"Behavior","Non-College","published","z","ML","z-test",-0.149603010367555,-0.19580968084999,-0.102733519845792,5.58344505678079e-10,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,36,0.0930761610041986
"Beliefs","Pre-College","published","z","REML","z-test",-0.117394985100471,-0.16957310260576,-0.0645605532754813,1.43894610956202e-05,7,"17,38,39,50,59,63","21,45,46,47,59,70,74",6,0,37,0.105012549330279
"Beliefs","Pre-College","published","z","REML","t-test",-0.117394985100471,-0.182402193055917,-0.0513658891510156,0.00488681780138814,7,"17,38,39,50,59,63","21,45,46,47,59,70,74",6,0,38,0.131036303904902
"Beliefs","Pre-College","published","z","ML","z-test",-0.116297129369333,-0.164607032272459,-0.0674306042461588,3.39746638086908e-06,7,"17,38,39,50,59,63","21,45,46,47,59,70,74",6,0,39,0.0971764280262998
"Beliefs","Pre-College","published","z","ML","t-test",-0.116297129369333,-0.17649726857263,-0.0552301948984204,0.00352130167565725,7,"17,38,39,50,59,63","21,45,46,47,59,70,74",6,0,40,0.121267073674209
"Beliefs","College","unpublished","z","ML","z-test",-0.109542519683241,-0.190360070598002,-0.0272502116051651,0.00916772705569151,4,"4,8,11","6,11,14,15",3,0,41,0.163109858992837
"Beliefs","College","unpublished","z","ML","t-test",-0.109542519683241,-0.239562330858929,0.0243372265426137,0.0799786998428971,4,"4,8,11","6,11,14,15",3,0,42,0.263899557401543
"Beliefs","College","unpublished","z","REML","z-test",-0.109542519683152,-0.19036007060529,-0.0272502115974291,0.00916772706219897,4,"4,8,11","6,11,14,15",3,0,43,0.163109859007861
"Beliefs","College","unpublished","z","REML","t-test",-0.109542519683152,-0.239562330870555,0.0243372265551206,0.0799786998596816,4,"4,8,11","6,11,14,15",3,0,44,0.263899557425676
"mixed","College","all_publicationstatus","z","ML","t-test",-0.0940392099406805,-0.179762971711487,-0.00689795256409438,0.0370642976246351,11,"1,6,7,26,41,45,68,79","1,2,3,8,9,10,31,49,54,79,91",8,0,45,0.172865019147393
"mixed","College","all_publicationstatus","z","ML","z-test",-0.0940392099406805,-0.169562362863162,-0.0174179976797076,0.0162187589534436,11,"1,6,7,26,41,45,68,79","1,2,3,8,9,10,31,49,54,79,91",8,0,46,0.152144365183454
"mixed","College","all_publicationstatus","z","REML","t-test",-0.0934052995973381,-0.184020772654553,-0.00121550892884545,0.0475757098331246,11,"1,6,7,26,41,45,68,79","1,2,3,8,9,10,31,49,54,79,91",8,0,47,0.182805263725707
"mixed","College","all_publicationstatus","z","REML","z-test",-0.0934052995973381,-0.17324734462182,-0.0123435496118744,0.0239812319602378,11,"1,6,7,26,41,45,68,79","1,2,3,8,9,10,31,49,54,79,91",8,0,48,0.160903795009946
"mixed","College","unpublished","z","ML","t-test",-0.0411140216727635,-0.175390710663448,0.0946643770628092,0.47226845948815,6,"1,6,7","1,2,3,8,9,10",3,0,49,0.270055087726258
"mixed","College","unpublished","z","ML","z-test",-0.0411140216727635,-0.143891559130195,0.0625410080169556,0.437124826309395,6,"1,6,7","1,2,3,8,9,10",3,0,50,0.20643256714715
"mixed","College","unpublished","z","REML","z-test",-0.0411107265467795,-0.156315511488137,0.0751976317580295,0.488823367070654,6,"1,6,7","1,2,3,8,9,10",3,0,51,0.231513143246167
"mixed","College","unpublished","z","REML","t-test",-0.0411107265467795,-0.191500709929997,0.111165381728273,0.519646506972448,6,"1,6,7","1,2,3,8,9,10",3,0,52,0.30266609165827
"Behavior","College","published","z","REML","t-test",-0.0378498639962514,-0.394552809846962,0.328766782884319,0.709374681500926,3,"25,30,54","30,36,64",3,0,53,0.723319592731281
"Behavior","College","published","z","REML","z-test",-0.0378498639962514,-0.207592689125546,0.134105671278599,0.667525326182624,3,"25,30,54","30,36,64",3,0,54,0.341698360404145
"Behavior","College","published","z","ML","t-test",-0.0334198081182665,-0.333981896274998,0.27331122929558,0.691716279386797,3,"25,30,54","30,36,64",3,0,55,0.607293125570578
"Behavior","College","published","z","ML","z-test",-0.0334198081182665,-0.174600833077203,0.109107679254377,0.646736344038132,3,"25,30,54","30,36,64",3,0,56,0.28370851233158
"mixed","Pre-College","published","z","REML","t-test",0.0223579504682406,-0.0696324105520843,0.113971277837195,0.496028840863269,4,"37,40,42,44","44,48,51,53",4,0,57,0.18360368838928
"mixed","Pre-College","published","z","REML","z-test",0.0223579504682406,-0.0343504479234901,0.0789228417322402,0.439739857338963,4,"37,40,42,44","44,48,51,53",4,0,58,0.11327328965573
"mixed","Pre-College","published","z","ML","z-test",0.0245635456764931,-0.0125501093249083,0.0616096143231225,0.194541510242184,4,"37,40,42,44","44,48,51,53",4,0,59,0.0741597236480307
"mixed","Pre-College","published","z","ML","t-test",0.0245635456764931,-0.0356878853517734,0.0846370531176481,0.285292690146169,4,"37,40,42,44","44,48,51,53",4,0,60,0.120324938469422
"Behavior","Pre-College","published","z","ML","z-test",0.0299432047027817,-0.103243162922884,0.162074738408509,0.660280037455309,2,"53,57","63,67",2,0,61,0.265317901331393
"Behavior","Pre-College","published","z","ML","t-test",0.0299432047027817,-0.683647356918045,0.714263520707637,0.736369283552099,2,"53,57","63,67",2,0,62,1.39791087762568
"Behavior","Pre-College","published","z","REML","z-test",0.0406601166065829,-0.154279763913515,0.232552967372105,0.684452639086608,2,"53,57","63,67",2,0,63,0.38683273128562
"Behavior","Pre-College","published","z","REML","t-test",0.0406601166065829,-0.842951601733656,0.864944384825165,0.754260416664765,2,"53,57","63,67",2,0,64,1.70789598655882
