"rank","obs","boot_lb","boot_ub"
1,-0.0469362580326864,-0.240434710652231,-0.0340165119294902
2,-0.0469362580326864,-0.23800256572863,-0.0340151230420003
3,-0.0469362580326864,-0.232841779030732,-0.0297765389198789
4,-0.0468361385416605,-0.229923128194611,-0.0295538366244368
5,-0.0468361385416605,-0.229859359884309,-0.0262529662528598
6,-0.0468361385416605,-0.228443255623951,-0.0260004014260393
7,-0.0342902717499735,-0.223894966077395,-0.0241608976178287
8,-0.03425,-0.223107103098565,-0.0241163584578758
9,-0.0287354954714249,-0.186570086290128,-0.0203679494881446
10,-0.0287354954714249,-0.185653759097318,-0.0203679494881446
11,-0.0287354954714249,-0.184885869371946,-0.0189502286689326
12,-0.0286127674715703,-0.181990497659123,-0.0187480905391493
13,-0.0286127674715703,-0.178557995738015,-0.0180585668375153
14,-0.0286127674715703,-0.174881359190028,-0.0180151227624922
15,-0.0279584576027013,-0.173370657342092,-0.0174364610789762
16,-0.0279584576027013,-0.169734940843025,-0.0173496482840612
17,-0.0279584576027013,-0.160503180490888,-0.0161213861305065
18,-0.0278393545233089,-0.157762069810901,-0.0159030071114881
19,-0.0278393545233089,-0.157548286293616,-0.0147093119255877
20,-0.0278393545233089,-0.156615537182167,-0.0142012897224263
21,-0.0276676357151052,-0.155828587850243,-0.0134253151125291
22,-0.027548199973745,-0.153794525657962,-0.013388294077247
23,-0.0266,-0.153376858388772,-0.0128216572431644
24,-0.0245476441833775,-0.151006293095857,-0.0128091380994812
25,-0.0244969768550284,-0.136955013560975,-0.0119421387753563
26,-0.0230581611840765,-0.136412735814634,-0.0119258345479997
27,-0.0228651613285253,-0.13370422277776,-0.0111554913197196
28,-0.0228333333333333,-0.1333683871289,-0.0111554913197196
29,-0.0221666666666667,-0.132304687750054,-0.0107011236388404
30,-0.0221655152159649,-0.13062953885951,-0.0105406034438252
31,-0.0221333333333333,-0.12864774913216,-0.00983730852675235
32,-0.0217786926306628,-0.127870792248389,-0.0098360479574531
33,-0.0201392394501501,-0.114934928793838,-0.00943266522939406
34,-0.0201392394501501,-0.113497351850568,-0.00939573857321873
35,-0.0201392394501501,-0.109283711352046,-0.00857714948787771
36,-0.0200317257222144,-0.108780005083508,-0.00852075558238814
37,-0.0200317257222144,-0.108070838269565,-0.00793693534211454
38,-0.0200317257222144,-0.107270833218242,-0.00759026023463087
39,-0.0190485239565206,-0.10605732720422,-0.00728461890562747
40,-0.0190485239565206,-0.105265262297618,-0.00706664579875837
41,-0.0190485239565206,-0.100784738523693,-0.00652263555959111
42,-0.0181552185721253,-0.0994072463229283,-0.00637827273095317
43,-0.0181552185721253,-0.0976197181389565,-0.00631641699915813
44,-0.0181552185721253,-0.0973823138615092,-0.00573067206140249
45,-0.0173997626425138,-0.0961999415121592,-0.0056833606168792
46,-0.0173997626425138,-0.0959574108544358,-0.00546577298951411
47,-0.0173997626425138,-0.0943460432394979,-0.00499586519158733
48,-0.0169200706720566,-0.0927357850564415,-0.00498386043130217
49,-0.0168934565247959,-0.0919221480011113,-0.00467616167283868
50,-0.0168934565247959,-0.0912347167868975,-0.00467616167283868
51,-0.0168934565247959,-0.089497034437454,-0.00411129347593551
52,-0.0168895143277927,-0.0883448233285043,-0.00408993920509012
53,-0.0168031634946629,-0.0867165030305411,-0.0032026444155268
54,-0.0166253277406224,-0.086583977511642,-0.0032026444155268
55,-0.0166,-0.0863076409701188,-0.00296273291594817
56,-0.016592790076885,-0.0858626433545989,-0.00285661643494223
57,-0.016592790076885,-0.0839180332624563,-0.00272282633798418
58,-0.016592790076885,-0.0824573450766679,-0.00261533579764665
59,-0.01625,-0.0817163804147157,-0.00250266709199776
60,-0.0161655109591865,-0.0815197555411488,-0.00232037163170831
61,-0.0161655109591865,-0.0809227835896542,-0.0018755412256586
62,-0.0161655109591865,-0.0805544581612906,-0.00175648826328795
63,-0.0155168613363256,-0.0801115178170559,-0.00115872609551768
64,-0.0155168613363256,-0.0798796995027012,-0.00114760584394826
65,-0.0155141932662946,-0.0792550048307265,-0.000311219415995732
66,-0.0154056971418,-0.0784400299992043,0.000175036909345902
67,-0.0154056971418,-0.0768261640976799,0.00018786704597303
68,-0.0154056971418,-0.0761569826050996,0.000387794899247409
69,-0.0151201913824186,-0.0756074488918293,0.000503572570949349
70,-0.0150403640730018,-0.0754466132300309,0.00050479391907664
71,-0.0147486269764291,-0.074998368741915,0.000780418228767038
72,-0.0147486269764291,-0.0740930439620611,0.00124940915327586
73,-0.0147486269764291,-0.0731782522194735,0.00146327149036027
74,-0.0144444444444444,-0.072145975529252,0.00148749416993212
75,-0.0138522697888739,-0.0720406222393299,0.00155381119520153
76,-0.0138145429209815,-0.07184876247407,0.00163201652289917
77,-0.0132163098208516,-0.0714375942144236,0.0017727257191036
78,-0.0110803756957403,-0.0712758518058538,0.00189214870957914
79,-0.00969783231309976,-0.0708650509544083,0.0019691179809362
80,-0.00925200915705699,-0.0708021806115965,0.0023234189441854
81,-0.00806403667767014,-0.0707330834569552,0.00252088207093335
82,-0.00806403667767014,-0.0705473243799875,0.00257945037190033
83,-0.00806403667767014,-0.069993270283856,0.00276251995456872
84,-0.00804094023352438,-0.0697792870950002,0.00282673892023385
85,-0.00804094023352438,-0.0696919292403821,0.00282713373237858
86,-0.00804094023352438,-0.0685335584616052,0.0030639467885132
87,-0.0078497368574871,-0.0685181364429954,0.00342932393234644
88,-0.00725082822069064,-0.0682467754617079,0.00358192903780026
89,-0.00725082822069064,-0.0681855970769452,0.00383254376180006
90,-0.00725082822069064,-0.0678097354660868,0.00383522791984759
91,-0.00722505129289093,-0.0671811189483951,0.00383564207963142
92,-0.00722505129289093,-0.066891630345352,0.00405845277399599
93,-0.00722505129289093,-0.0664702890576469,0.00422312441483103
94,-0.00716086215841456,-0.0664655694190292,0.00423188747269196
95,-0.00716086215841456,-0.0658225731175063,0.00446317362487642
96,-0.00716086215841456,-0.0658171666624593,0.00468265682010027
97,-0.00713418625235073,-0.0658153130948281,0.00477512627924813
98,-0.00713418625235073,-0.0650915344718028,0.00477983657731951
99,-0.00713418625235073,-0.0650321092309184,0.00478074961786643
100,-0.00649695226219673,-0.0650310765430983,0.00482453509982326
101,-0.00649695226219673,-0.064330223398537,0.00538001497252753
102,-0.00649695226219673,-0.0640588386869776,0.00545420498813288
103,-0.00646899109837325,-0.0638282217338461,0.00552062658812606
104,-0.00646899109837325,-0.0636921845686387,0.0055347417501572
105,-0.00646899109837325,-0.0635192663209827,0.00556502612916641
106,-0.00634046582852702,-0.0635192663209827,0.00557605302268998
107,-0.00625102587041108,-0.0633696462925983,0.0057436523164799
108,-0.00516980760371586,-0.0630949980082926,0.00576027542735438
109,-0.00466287001124261,-0.063041369414573,0.00594055653146112
110,-0.00466287001124261,-0.0627015250565748,0.00605341985208166
111,-0.00466287001124261,-0.0622890076774401,0.00629752493547521
112,-0.00466248877181374,-0.0618918447367657,0.00636950205825796
113,-0.00466248877181374,-0.0613121578536368,0.0064651299944745
114,-0.00466248877181374,-0.0610910644146217,0.00663897453498337
115,-0.00439221582086104,-0.0602498535602583,0.00674322628441377
116,-0.00439221582086104,-0.0601447308088824,0.00684047261806896
117,-0.00439221582086104,-0.0600857292362925,0.00684979200639061
118,-0.00439146310824931,-0.05986589034312,0.00687804776850246
119,-0.00439146310824931,-0.0598575413577016,0.00694336543015005
120,-0.00439146310824931,-0.0597938280753018,0.00695925859251685
121,-0.00344399505004434,-0.0596405993376499,0.00696124017528831
122,-0.00309959787347338,-0.0590780184319668,0.00705523002528185
123,-0.00307193522545921,-0.0588279189464495,0.00710908595045244
124,-0.00288888888888889,-0.0587229087738643,0.0071952787366966
125,-0.00277415199817568,-0.0583055788568652,0.00720376345874128
126,-0.00260000000000001,-0.0577712529571409,0.00724842757135982
127,-0.00186979772046335,-0.0572818196510106,0.00725325469332606
128,-0.00186788380646826,-0.0571862862684239,0.00742632098532226
129,-0.00164592892073583,-0.0569320434684669,0.00762845107534529
130,-0.00164413556132839,-0.0567923020843285,0.00773025291063599
131,-0.000869943727450676,-0.0565638562968911,0.00773100253571023
132,-0.000868049195180861,-0.056516187069193,0.0078491612467263
133,-0.000745237165696879,-0.056259405300401,0.00800929357383563
134,-0.000703234139310494,-0.0562567821286423,0.00809949218043023
135,-0.000642857142857143,-0.0562558019482265,0.00812034866354636
136,-0.000635869914299436,-0.0559141408931192,0.00838385857859046
137,-0.0005625,-0.0559130758015283,0.00843141031549751
138,-0.000556386192587317,-0.0559103878505879,0.00869738729620445
139,-0.000370027766885953,-0.0542822104908022,0.00869750862717703
140,-0.000370027766885953,-0.0541792247099574,0.00878796199290179
141,-0.000370027766885953,-0.0540973304552487,0.00879182072776243
142,-0.000357400128224898,-0.0540955927557253,0.00894596662607184
143,-0.000351385971692734,-0.0540891403217675,0.00915169476149643
144,-0.000351385971692734,-0.0540659892121326,0.00920233464717146
145,-0.000351385971692734,-0.054040584101144,0.00920340839338342
146,-0.000300000000000001,-0.0540004443477644,0.00929885364859855
147,-0.000293885866539133,-0.0539015346727946,0.00929930370960498
