"rank","obs","boot_lb","boot_ub"
1,-0.0468361385395849,-0.20992407743868,-0.021769320903083
2,-0.0468361385395849,-0.20992407743868,-0.021769320903083
3,-0.046836138539222,-0.209924077430777,-0.0194325578084022
4,-0.046836138539222,-0.209924077430777,-0.0194325578084022
5,-0.0286127674701596,-0.171824099195043,-0.013129609812221
6,-0.0286127674701596,-0.171824099195043,-0.013129609812221
7,-0.0286127674656533,-0.167943936714002,-0.0130818754934229
8,-0.0286127674656533,-0.167943936714002,-0.0130818754934229
9,-0.0278393545277427,-0.146769190883311,-0.0108274702637981
10,-0.0278393545277427,-0.146769190883311,-0.0108274702637981
11,-0.027839354524302,-0.146487016099888,-0.0108274681391482
12,-0.027839354524302,-0.146487016099888,-0.0108274681391482
13,-0.0275481999588583,-0.130304655561622,-0.00869872067808619
14,-0.0275481999588583,-0.130304655561622,-0.00869872067808619
15,-0.024496976829918,-0.12879584768155,-0.00869872009507519
16,-0.024496976829918,-0.12879584768155,-0.00869872009507519
17,-0.0200317257211575,-0.113481421628019,-0.00664116686368305
18,-0.0200317257211575,-0.113481421628019,-0.00664116686368305
19,-0.0200317257209019,-0.107191091184959,-0.00582417405691107
20,-0.0200317257209019,-0.107191091184959,-0.00582417405691107
21,-0.0190485239185648,-0.0966896960046627,-0.00467192389269439
22,-0.0190485239185648,-0.0966896960046627,-0.00467192389269439
23,-0.0190485238831306,-0.0945293937004988,-0.00383665292623581
24,-0.0190485238831306,-0.0945293937004988,-0.00383665292623581
25,-0.0181552185312582,-0.0832888217891706,-0.00240099439801557
26,-0.0181552185312582,-0.0832888217891706,-0.00240099439801557
27,-0.0181552184932564,-0.0788569637676851,-0.00167668790478171
28,-0.0181552184932564,-0.0788569637676851,-0.00167668790478171
29,-0.0168934564895388,-0.0754753157339595,0.000769515387784552
30,-0.0168934564895388,-0.0754753157339595,0.000769515387784552
31,-0.0168934564388988,-0.0728886086246043,0.00109330193573319
32,-0.0168934564388988,-0.0728886086246043,0.00109330193573319
33,-0.0168895142924559,-0.0723974747652056,0.00239136707263403
34,-0.0168895142924559,-0.0723974747652056,0.00239136707263403
35,-0.0168402856139696,-0.0683129612632313,0.00262410741668177
36,-0.0168402856139696,-0.0683129612632313,0.00262410741668177
37,-0.0161655109215596,-0.0595161671495892,0.00308406629365411
38,-0.0161655109215596,-0.0595161671495892,0.00308406629365411
39,-0.0161655109078208,-0.0567750610416142,0.00340179288416966
40,-0.0161655109078208,-0.0567750610416142,0.00340179288416966
41,-0.015516861274392,-0.055062440228639,0.00427411802796694
42,-0.015516861274392,-0.055062440228639,0.00427411802796694
43,-0.0155168608271597,-0.0549524988941224,0.00466510094084497
44,-0.0155168608271597,-0.0549524988941224,0.00466510094084497
45,-0.012529151994366,-0.0521559789356074,0.00504156335408495
46,-0.012529151994366,-0.0521559789356074,0.00504156335408495
47,-0.00804094023180738,-0.0521095562451614,0.00522649949105523
48,-0.00804094023180738,-0.0521095562451614,0.00522649949105523
49,-0.0080409402305576,-0.0498364053274749,0.00568139355265555
50,-0.0080409402305576,-0.0498364053274749,0.00568139355265555
51,-0.00722505129123637,-0.049836401959609,0.00624082810357543
52,-0.00722505129123637,-0.049836401959609,0.00624082810357543
53,-0.007225051290159,-0.0489921540368874,0.00649214579438046
54,-0.007225051290159,-0.0489921540368874,0.00649214579438046
55,-0.00713418624984692,-0.0488060576298173,0.00674214039101011
56,-0.00713418624984692,-0.0488060576298173,0.00674214039101011
57,-0.00713418624866196,-0.0486215512390811,0.00734896684830973
58,-0.00713418624866196,-0.0486215512390811,0.00734896684830973
59,-0.00646899109644131,-0.0485705747550797,0.00846423816296636
60,-0.00646899109644131,-0.0485705747550797,0.00846423816296636
61,-0.00646899109446373,-0.0483913332436418,0.00968325845614138
62,-0.00646899109446373,-0.0483913332436418,0.00968325845614138
63,-0.0046624887667347,-0.0482580156967539,0.00985901125908765
64,-0.0046624887667347,-0.0482580156967539,0.00985901125908765
65,-0.00466248876634973,-0.0477695566864341,0.0102908558247889
66,-0.00466248876634973,-0.0477695566864341,0.0102908558247889
67,-0.00439146310369082,-0.0476390135642608,0.0122601120697839
68,-0.00439146310369082,-0.0476390135642608,0.0122601120697839
69,-0.0043914631026717,-0.0471170802682774,0.0126903182625978
70,-0.0043914631026717,-0.0471170802682774,0.0126903182625978
71,-0.00186788387998302,-0.0467519787311589,0.0132819029357948
72,-0.00186788387998302,-0.0467519787311589,0.0132819029357948
73,-0.00186788381700879,-0.0447840524985994,0.0133452234404275
74,-0.00186788381700879,-0.0447840524985994,0.0133452234404275
75,-0.00164413560867779,-0.0447077981908652,0.0134488932035856
76,-0.00164413560867779,-0.0447077981908652,0.0134488932035856
77,-0.00164413556987251,-0.0428720853569891,0.0137402806320979
78,-0.00164413556987251,-0.0428720853569891,0.0137402806320979
79,-0.000868049242042764,-0.041492665327964,0.0140350894651893
80,-0.000868049242042764,-0.041492665327964,0.0140350894651893
81,-0.000868049203477728,-0.0409910338644142,0.0143181614581229
82,-0.000868049203477728,-0.0409910338644142,0.0143181614581229
83,-0.000703234171667371,-0.0405246399693864,0.0144738978167689
84,-0.000703234171667371,-0.0405246399693864,0.0144738978167689
85,-0.000703234147832776,-0.0390636788149996,0.0150202618417952
86,-0.000703234147832776,-0.0390636788149996,0.0150202618417952
87,-0.000351385967465878,-0.0389399263620826,0.0151774128789741
88,-0.000351385967465878,-0.0389399263620826,0.0151774128789741
89,-0.000351385966729797,-0.0367064905793759,0.0153606198479348
90,-0.000351385966729797,-0.0367064905793759,0.0153606198479348
91,0.000756847157358914,-0.0364510708922703,0.0156451384659532
92,0.000756847157358914,-0.0364510708922703,0.0156451384659532
93,0.000756847174946057,-0.036240967015553,0.0159145846468484
94,0.000756847174946057,-0.036240967015553,0.0159145846468484
95,0.00174729208523162,-0.0362409559840725,0.0163732867992531
96,0.00174729208523162,-0.0362409559840725,0.0163732867992531
97,0.00174729209273127,-0.0348941277479792,0.0167611729467692
98,0.00174729209273127,-0.0348941277479792,0.0167611729467692
99,0.00184869064667307,-0.0344006671614616,0.0170800694101342
100,0.00184869064667307,-0.0344006671614616,0.0170800694101342
101,0.00184869065864998,-0.0335939180220253,0.0174944048708645
102,0.00184869065864998,-0.0335939180220253,0.0174944048708645
103,0.0023039566690205,-0.0335939178418273,0.017507687864105
104,0.0023039566690205,-0.0335939178418273,0.017507687864105
105,0.00230395684745675,-0.033392686353979,0.0176274700551094
106,0.00230395684745675,-0.033392686353979,0.0176274700551094
107,0.00305754724371849,-0.0332757542230027,0.0178458086111545
108,0.00305754724371849,-0.0332757542230027,0.0178458086111545
109,0.00305754728940894,-0.0329720016957715,0.0179785001447716
110,0.00305754728940894,-0.0329720016957715,0.0179785001447716
111,0.0033815179721965,-0.0328195147657594,0.0180020830528271
112,0.0033815179721965,-0.0328195147657594,0.0180020830528271
113,0.00338151797989895,-0.0324458884086553,0.0182735103718948
114,0.00338151797989895,-0.0324458884086553,0.0182735103718948
115,0.00340145852732852,-0.0318312339988826,0.0186546234764704
116,0.00340145852732852,-0.0318312339988826,0.0186546234764704
117,0.00340145853156522,-0.0316716575286181,0.0187720026690859
118,0.00340145853156522,-0.0316716575286181,0.0187720026690859
119,0.0037881769264901,-0.0314045180704016,0.0192857730183578
120,0.0037881769264901,-0.0314045180704016,0.0192857730183578
121,0.00443895115734743,-0.0310075689705945,0.0193095077254053
122,0.00443895115734743,-0.0310075689705945,0.0193095077254053
123,0.00443895115758084,-0.0305469927780391,0.0194833387599697
124,0.00443895115758084,-0.0305469927780391,0.0194833387599697
125,0.00459616240711339,-0.0305248554661613,0.0195310712051784
126,0.00459616240711339,-0.0305248554661613,0.0195310712051784
127,0.0046748039122785,-0.0298313287062917,0.0196470384893744
128,0.0046748039122785,-0.0298313287062917,0.0196470384893744
129,0.00467480415416545,-0.0292687621742529,0.0200878857771694
130,0.00467480415416545,-0.0292687621742529,0.0200878857771694
131,0.00475362283156357,-0.0285674730845349,0.0201404745917292
132,0.00475362283156357,-0.0285674730845349,0.0201404745917292
133,0.00475362283182203,-0.0284983980504585,0.020292741041933
134,0.00475362283182203,-0.0284983980504585,0.020292741041933
135,0.00479410407921362,-0.0282920807033442,0.0204184334291659
136,0.00479410407921362,-0.0282920807033442,0.0204184334291659
137,0.0047941040885455,-0.0272060153678174,0.0205533210203758
138,0.0047941040885455,-0.0272060153678174,0.0205533210203758
139,0.00483096655459832,-0.0267936746995527,0.0205574082470266
140,0.00483096655459832,-0.0267936746995527,0.0205574082470266
141,0.00483096656436147,-0.0265275302193999,0.0205797012114093
142,0.00483096656436147,-0.0265275302193999,0.0205797012114093
143,0.00555593513842447,-0.0253476107318268,0.0208436576582309
144,0.00555593513842447,-0.0253476107318268,0.0208436576582309
145,0.0055559351547716,-0.0252081707026862,0.0212018251074291
146,0.0055559351547716,-0.0252081707026862,0.0212018251074291
147,0.00578423222326815,-0.0247048421841373,0.0213319605612108
148,0.00578423222326815,-0.0247048421841373,0.0213319605612108
149,0.00578423223531462,-0.0246392727655981,0.0216278850382653
150,0.00578423223531462,-0.0246392727655981,0.0216278850382653
151,0.00583949675223404,-0.0244632916565567,0.0216751150478399
152,0.00583949675223404,-0.0244632916565567,0.0216751150478399
153,0.00583949677195353,-0.0243036436091827,0.0225784997186875
154,0.00583949677195353,-0.0243036436091827,0.0225784997186875
155,0.00615459558052481,-0.023446883437398,0.0230198229169642
156,0.00615459558052481,-0.023446883437398,0.0230198229169642
157,0.00635394133733306,-0.0223661208129873,0.0230462294091621
158,0.00635394133733306,-0.0223661208129873,0.0230462294091621
159,0.00635394133738456,-0.0218904258443288,0.0233504958219347
160,0.00635394133738456,-0.0218904258443288,0.0233504958219347
161,0.00664615014247928,-0.0216066432429943,0.0238900660514951
162,0.00664615014247928,-0.0216066432429943,0.0238900660514951
163,0.00687605673706584,-0.0214224900617431,0.0242950037901506
164,0.00687605673706584,-0.0214224900617431,0.0242950037901506
165,0.00687605673894879,-0.0208614291232349,0.0253194736192236
166,0.00687605673894879,-0.0208614291232349,0.0253194736192236
167,0.00715512799411998,-0.0200744672488732,0.0254425250271092
168,0.00715512799411998,-0.0200744672488732,0.0254425250271092
